LocationName,Polygon,Polygon_coords,total_messages,total_devices,latency_messages,latency_devices,latency_messages_ratio,latency_device_ratio,device_ids,latency_device_ids,severity
AEZXH-TJB,"25.021827,55.043604,25.026634,55.072058,25.023216,55.073561,25.020104,55.070525,25.016492,55.049767,25.019132,55.048816,25.020021,55.046363,25.019493,55.044156,25.021827,55.043604","[[25.021827, 55.043604], [25.026634, 55.072058], [25.023216, 55.073561], [25.020104, 55.070525], [25.016492, 55.049767], [25.019132, 55.048816], [25.020021, 55.046363], [25.019493, 55.044156], [25.021827, 55.043604]]",0,0,0,0,0.0,0.0,,,-0.0
AEZXH-TJC,"24.997425,55.048476,24.981335,55.054790,24.980629,55.053150,24.981149,55.050321,24.991703,55.044991,24.991145,55.043146,24.994341,55.042859,24.997425,55.048476","[[24.997425, 55.048476], [24.981335, 55.05479], [24.980629, 55.05315], [24.981149, 55.050321], [24.991703, 55.044991], [24.991145, 55.043146], [24.994341, 55.042859], [24.997425, 55.048476]]",0,0,0,0,0.0,0.0,,,-0.0
AEZXH-TJD,"25.034368,55.038720,25.038083,55.060654,25.032659,55.060859,25.029204,55.041344,25.034368,55.038720","[[25.034368, 55.03872], [25.038083, 55.060654], [25.032659, 55.060859], [25.029204, 55.041344], [25.034368, 55.03872]]",0,0,0,0,0.0,0.0,,,-0.0
AGSJH-TSJ,"17.126103,-61.852556,17.124885,-61.852716,17.125136,-61.853972,17.124964,-61.854081,17.124976,-61.854305,17.124872,-61.854350,17.125589,-61.857753,17.126226,-61.857618,17.125944,-61.856510,17.125987,-61.856241,17.125730,-61.854747,17.126103,-61.852556","[[17.126103, -61.852556], [17.124885, -61.852716], [17.125136, -61.853972], [17.124964, -61.854081], [17.124976, -61.854305], [17.124872, -61.85435], [17.125589, -61.857753], [17.126226, -61.857618], [17.125944, -61.85651], [17.125987, -61.856241], [17.12573, -61.854747], [17.126103, -61.852556]]",0,0,0,0,0.0,0.0,,,-0.0
ALDRR-TDR,"41.315357,19.452524,41.315002,19.453679,41.307214,19.449374,41.302382,19.454492,41.302284,19.452445,41.306878,19.447143,41.315357,19.452524","[[41.315357, 19.452524], [41.315002, 19.453679], [41.307214, 19.449374], [41.302382, 19.454492], [41.302284, 19.452445], [41.306878, 19.447143], [41.315357, 19.452524]]",0,0,0,0,0.0,0.0,,,-0.0
ARBUE-DGL,"-34.578108,-58.394387,-34.578314,-58.394377,-34.579987,-58.390896,-34.578413,-58.390486,-34.578503,-58.391995,-34.578108,-58.394387","[[-34.578108, -58.394387], [-34.578314, -58.394377], [-34.579987, -58.390896], [-34.578413, -58.390486], [-34.578503, -58.391995], [-34.578108, -58.394387]]",454,12,20,2,4.4,16.7,"['A0000539', 'A0001150', 'A0002060', 'A0002489', 'A0003045', 'A0003123', 'A0003625', 'A0003745', 'A0003859', 'A0004078', 'A0004645', 'A0006269']","['A0002060', 'A0006269']",5.8
ARBUE-DGL2,"-34.585045,-58.384680,-34.587200,-58.381000,-34.588003,-58.381800,-34.587979,-58.382600,-34.586602,-58.384695,-34.584279,-58.385887,-34.585045,-58.384680","[[-34.585045, -58.38468], [-34.5872, -58.381], [-34.588003, -58.3818], [-34.587979, -58.3826], [-34.586602, -58.384695], [-34.584279, -58.385887], [-34.585045, -58.38468]]",9,1,0,0,0.0,0.0,['A0000876'],,0.0
ARBUE-DHP,"-34.660257,-58.339173,-34.660316,-58.334991,-34.662540,-58.335346,-34.662507,-58.339288,-34.663428,-58.339526,-34.663713,-58.340804,-34.665103,-58.341053,-34.665097,-58.342626,-34.663658,-58.342496,-34.663639,-58.341048,-34.663349,-58.339663,-34.660257,-58.339173","[[-34.660257, -58.339173], [-34.660316, -58.334991], [-34.66254, -58.335346], [-34.662507, -58.339288], [-34.663428, -58.339526], [-34.663713, -58.340804], [-34.665103, -58.341053], [-34.665097, -58.342626], [-34.663658, -58.342496], [-34.663639, -58.341048], [-34.663349, -58.339663], [-34.660257, -58.339173]]",1300,17,21,2,1.6,11.8,"['A0000871', 'A0001415', 'A0001787', 'A0002376', 'A0002813', 'A0002951', 'A0003375', 'A0004334', 'A0004586', 'A0004695', 'A0004756', 'A0004776', 'A0004798', 'A0005666', 'A0005713', 'A0005753', 'A0006315']","['A0002813', 'A0004334']",4.3
ARBUE-DHP2,"-34.749738,-58.186322,-34.752364,-58.182578,-34.754105,-58.184527,-34.751405,-58.188010,-34.749738,-58.186322","[[-34.749738, -58.186322], [-34.752364, -58.182578], [-34.754105, -58.184527], [-34.751405, -58.18801], [-34.749738, -58.186322]]",104,2,6,1,5.8,50.0,"['A0004798', 'A0006269']",['A0004798'],9.5
ARBUE-TAP,"-34.578679,-58.374343,-34.578171,-58.367815,-34.579717,-58.365347,-34.580159,-58.365221,-34.580630,-58.371052,-34.581755,-58.368946,-34.582408,-58.371156,-34.580423,-58.374537,-34.579235,-58.373600,-34.578679,-58.374343","[[-34.578679, -58.374343], [-34.578171, -58.367815], [-34.579717, -58.365347], [-34.580159, -58.365221], [-34.58063, -58.371052], [-34.581755, -58.368946], [-34.582408, -58.371156], [-34.580423, -58.374537], [-34.579235, -58.3736], [-34.578679, -58.374343]]",1031,39,122,11,11.8,28.2,"['A0000539', 'A0000722', 'A0000871', 'A0000876', 'A0000880', 'A0001121', 'A0001150', 'A0001371', 'A0001415', 'A0001787', 'A0002060', 'A0002489', 'A0002490', 'A0002542', 'A0002817', 'A0003045', 'A0003123', 'A0003375', 'A0003666', 'A0003702', 'A0003745', 'A0003859', 'A0004078', 'A0004146', 'A0004334', 'A0004462', 'A0004586', 'A0004645', 'A0004695', 'A0004756', 'A0004776', 'A0004798', 'A0005373', 'A0005666', 'A0005713', 'A0005744', 'A0005753', 'A0006269', 'A0006315']","['A0001371', 'A0002060', 'A0002489', 'A0002490', 'A0002542', 'A0003702', 'A0003859', 'A0004334', 'A0004645', 'A0004756', 'A0005744']",13.5
ARBUE-TEX,"-34.635596,-58.348806,-34.639039,-58.352423,-34.642778,-58.350256,-34.646221,-58.342632,-34.646025,-58.341347,-34.640306,-58.344262,-34.635596,-58.348806","[[-34.635596, -58.348806], [-34.639039, -58.352423], [-34.642778, -58.350256], [-34.646221, -58.342632], [-34.646025, -58.341347], [-34.640306, -58.344262], [-34.635596, -58.348806]]",0,0,0,0,0.0,0.0,,,-0.0
AUBNE-DAC,"-27.368700,153.179752,-27.370750,153.183446,-27.372910,153.181937,-27.370928,153.178136,-27.368700,153.179752","[[-27.3687, 153.179752], [-27.37075, 153.183446], [-27.37291, 153.181937], [-27.370928, 153.178136], [-27.3687, 153.179752]]",405,4,0,0,0.0,0.0,"['A0000534', 'A0001441', 'A0002282', 'A0003080']",,0.0
AUBNE-DED,"-27.364939,153.182726,-27.368159,153.188300,-27.371802,153.185689,-27.368545,153.180074,-27.364939,153.182726","[[-27.364939, 153.182726], [-27.368159, 153.1883], [-27.371802, 153.185689], [-27.368545, 153.180074], [-27.364939, 153.182726]]",733,11,0,0,0.0,0.0,"['A0000708', 'A0000950', 'A0002473', 'A0002819', 'A0003080', 'A0003149', 'A0003498', 'A0004554', 'A0005033', 'A0005179', 'A0005438']",,0.0
AUBNE-DPC,"-27.364038,153.181029,-27.364857,153.182513,-27.368588,153.179884,-27.367894,153.178662,-27.364038,153.181029","[[-27.364038, 153.181029], [-27.364857, 153.182513], [-27.368588, 153.179884], [-27.367894, 153.178662], [-27.364038, 153.181029]]",527,7,9,1,1.7,14.3,"['A0002506', 'A0002749', 'A0002787', 'A0002867', 'A0004135', 'A0004175', 'A0004843']",['A0002506'],4.2
AUBNE-DTY,"-27.442680,153.131795,-27.444248,153.130013,-27.444816,153.133395,-27.443221,153.135224,-27.442680,153.131795","[[-27.44268, 153.131795], [-27.444248, 153.130013], [-27.444816, 153.133395], [-27.443221, 153.135224], [-27.44268, 153.131795]]",507,6,3,1,0.6,16.7,"['A0000927', 'A0001322', 'A0001441', 'A0001869', 'A0002200', 'A0005033']",['A0001322'],4.4
AUBNE-TPA,"-27.362161,153.177582,-27.364006,153.180960,-27.365183,153.180239,-27.367953,153.178451,-27.370293,153.176970,-27.368977,153.174791,-27.369976,153.174179,-27.369053,153.172698,-27.362161,153.177582","[[-27.362161, 153.177582], [-27.364006, 153.18096], [-27.365183, 153.180239], [-27.367953, 153.178451], [-27.370293, 153.17697], [-27.368977, 153.174791], [-27.369976, 153.174179], [-27.369053, 153.172698], [-27.362161, 153.177582]]",623,40,111,17,17.8,42.5,"['A0000708', 'A0000927', 'A0000950', 'A0001005', 'A0001172', 'A0001441', 'A0001492', 'A0001842', 'A0001869', 'A0002171', 'A0002200', 'A0002282', 'A0002454', 'A0002473', 'A0002506', 'A0002749', 'A0002787', 'A0002819', 'A0002836', 'A0002867', 'A0002974', 'A0003080', 'A0003149', 'A0003498', 'A0004135', 'A0004157', 'A0004175', 'A0004410', 'A0004554', 'A0004843', 'A0004861', 'A0004899', 'A0004952', 'A0004988', 'A0005033', 'A0005061', 'A0005179', 'A0005412', 'A0005418', 'A0005438']","['A0001842', 'A0002282', 'A0002454', 'A0002749', 'A0002819', 'A0002836', 'A0002867', 'A0002974', 'A0003149', 'A0003498', 'A0004135', 'A0004157', 'A0004410', 'A0004554', 'A0004843', 'A0005179', 'A0005418']",19.4
AUBNE-TPO,"-27.369361,153.172531,-27.371529,153.176293,-27.378315,153.171444,-27.376012,153.167857,-27.369361,153.172531","[[-27.369361, 153.172531], [-27.371529, 153.176293], [-27.378315, 153.171444], [-27.376012, 153.167857], [-27.369361, 153.172531]]",0,0,0,0,0.0,0.0,,,-0.0
AUFTL-DPC,"-32.046430,115.737982,-32.043278,115.741271,-32.043456,115.741843,-32.039989,115.745808,-32.038654,115.745092,-32.044750,115.738770,-32.046430,115.737982","[[-32.04643, 115.737982], [-32.043278, 115.741271], [-32.043456, 115.741843], [-32.039989, 115.745808], [-32.038654, 115.745092], [-32.04475, 115.73877], [-32.04643, 115.737982]]",0,0,0,0,0.0,0.0,,,-0.0
AUFTL-TDP,"-32.047415,115.737340,-32.040104,115.745980,-32.039306,115.749243,-32.049475,115.739082,-32.048438,115.737617,-32.047415,115.737340","[[-32.047415, 115.73734], [-32.040104, 115.74598], [-32.039306, 115.749243], [-32.049475, 115.739082], [-32.048438, 115.737617], [-32.047415, 115.73734]]",0,0,0,0,0.0,0.0,,,-0.0
AUFTL-TPA,"-32.045343,115.733641,-32.045383,115.735324,-32.042718,115.737814,-32.040895,115.735276,-32.044571,115.732951,-32.045343,115.733641","[[-32.045343, 115.733641], [-32.045383, 115.735324], [-32.042718, 115.737814], [-32.040895, 115.735276], [-32.044571, 115.732951], [-32.045343, 115.733641]]",0,0,0,0,0.0,0.0,,,-0.0
AUMEL-DGF,"-37.824207,144.802808,-37.823840,144.804260,-37.825424,144.804895,-37.825772,144.803493,-37.824207,144.802808","[[-37.824207, 144.802808], [-37.82384, 144.80426], [-37.825424, 144.804895], [-37.825772, 144.803493], [-37.824207, 144.802808]]",105,2,3,1,2.9,50.0,"['A0000392', 'A0005418']",['A0000392'],9.0
AUMEL-DPM,"-37.832830,144.916347,-37.832143,144.918397,-37.832507,144.918700,-37.833720,144.919048,-37.835912,144.919720,-37.835563,144.917217,-37.832830,144.916347","[[-37.83283, 144.916347], [-37.832143, 144.918397], [-37.832507, 144.9187], [-37.83372, 144.919048], [-37.835912, 144.91972], [-37.835563, 144.917217], [-37.83283, 144.916347]]",926,10,12,1,1.3,10.0,"['A0000560', 'A0001713', 'A0002070', 'A0002211', 'A0002974', 'A0003663', 'A0004510', 'A0004700', 'A0004789', 'A0004899']",['A0000560'],3.3
AUMEL-DWD,"-37.835099,144.908823,-37.838386,144.908480,-37.837624,144.913223,-37.834861,144.912193,-37.835099,144.908823","[[-37.835099, 144.908823], [-37.838386, 144.90848], [-37.837624, 144.913223], [-37.834861, 144.912193], [-37.835099, 144.908823]]",0,0,0,0,0.0,0.0,,,-0.0
AUMEL-TPA,"-37.809320,144.915243,-37.810195,144.920436,-37.812018,144.920062,-37.812284,144.924965,-37.813944,144.924243,-37.815735,144.921658,-37.817863,144.915971,-37.817599,144.914317,-37.809320,144.915243","[[-37.80932, 144.915243], [-37.810195, 144.920436], [-37.812018, 144.920062], [-37.812284, 144.924965], [-37.813944, 144.924243], [-37.815735, 144.921658], [-37.817863, 144.915971], [-37.817599, 144.914317], [-37.80932, 144.915243]]",40,3,0,0,0.0,0.0,"['A0004510', 'A0004789', 'A0005773']",,0.0
AUMEL-TVI,"-37.839343,144.917012,-37.842115,144.913393,-37.847482,144.917545,-37.849599,144.910339,-37.838317,144.906530,-37.839343,144.917012","[[-37.839343, 144.917012], [-37.842115, 144.913393], [-37.847482, 144.917545], [-37.849599, 144.910339], [-37.838317, 144.90653], [-37.839343, 144.917012]]",497,24,19,4,3.8,16.7,"['A0000392', 'A0000560', 'A0000599', 'A0001713', 'A0002070', 'A0002171', 'A0002211', 'A0002836', 'A0002887', 'A0002974', 'A0003212', 'A0003497', 'A0003663', 'A0003691', 'A0003999', 'A0004184', 'A0004510', 'A0004700', 'A0004789', 'A0004899', 'A0005061', 'A0005418', 'A0005536', 'A0005773']","['A0000599', 'A0002836', 'A0003999', 'A0005418']",6.1
AUMEL-TWS,"-37.809505,144.912436,-37.809505,144.906479,-37.819521,144.906479,-37.819521,144.912436,-37.809505,144.912436","[[-37.809505, 144.912436], [-37.809505, 144.906479], [-37.819521, 144.906479], [-37.819521, 144.912436], [-37.809505, 144.912436]]",8,1,8,1,100.0,100.0,['A0002070'],['A0002070'],13.3
AUSYD-DDP,"-33.963681,151.220252,-33.964585,151.219630,-33.967243,151.220844,-33.966237,151.224371,-33.964912,151.222856,-33.963681,151.220252","[[-33.963681, 151.220252], [-33.964585, 151.21963], [-33.967243, 151.220844], [-33.966237, 151.224371], [-33.964912, 151.222856], [-33.963681, 151.220252]]",104,2,0,0,0.0,0.0,"['A0004410', 'A0004967']",,0.0
AUSYD-DE1,"-33.972979,151.222106,-33.972313,151.224265,-33.974029,151.223948,-33.974695,151.221822,-33.972979,151.222106","[[-33.972979, 151.222106], [-33.972313, 151.224265], [-33.974029, 151.223948], [-33.974695, 151.221822], [-33.972979, 151.222106]]",0,0,0,0,0.0,0.0,,,-0.0
AUSYD-DMC,"-33.916157,151.174953,-33.917681,151.176412,-33.920287,151.172739,-33.920957,151.170405,-33.920786,151.168895,-33.916157,151.174953","[[-33.916157, 151.174953], [-33.917681, 151.176412], [-33.920287, 151.172739], [-33.920957, 151.170405], [-33.920786, 151.168895], [-33.916157, 151.174953]]",444,3,8,1,1.8,33.3,"['A0000747', 'A0002015', 'A0004966']",['A0004966'],8.0
AUSYD-DPC,"-33.964178,151.219431,-33.965112,151.219498,-33.967120,151.220305,-33.967496,151.218473,-33.967134,151.218389,-33.967009,151.218086,-33.966548,151.217918,-33.966660,151.217363,-33.965377,151.217162,-33.965280,151.218423,-33.964178,151.219431","[[-33.964178, 151.219431], [-33.965112, 151.219498], [-33.96712, 151.220305], [-33.967496, 151.218473], [-33.967134, 151.218389], [-33.967009, 151.218086], [-33.966548, 151.217918], [-33.96666, 151.217363], [-33.965377, 151.217162], [-33.96528, 151.218423], [-33.964178, 151.219431]]",71,7,2,1,2.8,14.3,"['A0001172', 'A0001984', 'A0002454', 'A0004696', 'A0004861', 'A0004988', 'A0005310']",['A0002454'],3.4
AUSYD-DSW,"-33.892004,151.068321,-33.891790,151.069611,-33.894270,151.071868,-33.899052,151.073867,-33.899802,151.072083,-33.896019,151.069890,-33.892004,151.068321","[[-33.892004, 151.068321], [-33.89179, 151.069611], [-33.89427, 151.071868], [-33.899052, 151.073867], [-33.899802, 151.072083], [-33.896019, 151.06989], [-33.892004, 151.068321]]",6,1,6,1,100.0,100.0,['A0002836'],['A0002836'],11.5
AUSYD-THP,"-33.959821,151.199027,-33.959554,151.200911,-33.961815,151.204989,-33.966024,151.205820,-33.967146,151.200900,-33.959821,151.199027","[[-33.959821, 151.199027], [-33.959554, 151.200911], [-33.961815, 151.204989], [-33.966024, 151.20582], [-33.967146, 151.2009], [-33.959821, 151.199027]]",6,1,0,0,0.0,0.0,['A0004966'],,0.0
AUSYD-TPA,"-33.967198,151.201003,-33.963969,151.214362,-33.965265,151.216997,-33.966734,151.217264,-33.967317,151.218309,-33.971305,151.202049,-33.967198,151.201003","[[-33.967198, 151.201003], [-33.963969, 151.214362], [-33.965265, 151.216997], [-33.966734, 151.217264], [-33.967317, 151.218309], [-33.971305, 151.202049], [-33.967198, 151.201003]]",529,20,9,1,1.7,5.0,"['A0000392', 'A0000747', 'A0001070', 'A0001172', 'A0001492', 'A0001825', 'A0001984', 'A0002171', 'A0002242', 'A0002836', 'A0003691', 'A0004410', 'A0004696', 'A0004861', 'A0004967', 'A0004988', 'A0005291', 'A0005310', 'A0005412', 'A0005773']",['A0002836'],2.0
AWBAR-TBA,"12.480293,-69.998692,12.482524,-69.997601,12.481133,-69.994752,12.478915,-69.995946,12.480293,-69.998692","[[12.480293, -69.998692], [12.482524, -69.997601], [12.481133, -69.994752], [12.478915, -69.995946], [12.480293, -69.998692]]",205,1,133,1,64.9,100.0,['A0004603'],['A0004603'],28.0
BBBGI-TBT,"13.107166,-59.630437,13.108872,-59.627777,13.106080,-59.625977,13.102435,-59.624494,13.101203,-59.628271,13.107166,-59.630437","[[13.107166, -59.630437], [13.108872, -59.627777], [13.10608, -59.625977], [13.102435, -59.624494], [13.101203, -59.628271], [13.107166, -59.630437]]",466,3,58,3,12.4,100.0,"['A0001418', 'A0002623', 'A0003443']","['A0001418', 'A0002623', 'A0003443']",25.9
BEANR-DEU,"51.279222,4.384144,51.276595,4.384348,51.275753,4.383573,51.275881,4.372198,51.279171,4.372239,51.279222,4.384144","[[51.279222, 4.384144], [51.276595, 4.384348], [51.275753, 4.383573], [51.275881, 4.372198], [51.279171, 4.372239], [51.279222, 4.384144]]",276,4,12,1,4.3,25.0,"['A0002651', 'A0002674', 'A0005064', 'A0005405']",['A0002674'],6.5
BEANR-DVC,"51.294339,4.340083,51.290315,4.350820,51.287608,4.352324,51.284237,4.348429,51.287029,4.346258,51.294339,4.340083","[[51.294339, 4.340083], [51.290315, 4.35082], [51.287608, 4.352324], [51.284237, 4.348429], [51.287029, 4.346258], [51.294339, 4.340083]]",485,10,0,0,0.0,0.0,"['A0001333', 'A0002161', 'A0002632', 'A0002651', 'A0003842', 'A0004152', 'A0004431', 'A0005163', 'A0005732', 'A0006324']",,0.0
BEANR-T17,"51.281076,4.237788,51.279163,4.241697,51.282591,4.248156,51.303703,4.269090,51.307033,4.262508,51.281076,4.237788","[[51.281076, 4.237788], [51.279163, 4.241697], [51.282591, 4.248156], [51.303703, 4.26909], [51.307033, 4.262508], [51.281076, 4.237788]]",114,9,6,1,5.3,11.1,"['A0000618', 'A0001547', 'A0002651', 'A0003144', 'A0003842', 'A0004004', 'A0004006', 'A0004431', 'A0005405']",['A0005405'],3.6
BEANR-T86,"51.344173,4.272230,51.343329,4.277786,51.341938,4.281675,51.339377,4.282778,51.333035,4.281904,51.334165,4.278243,51.343536,4.271273,51.344173,4.272230","[[51.344173, 4.27223], [51.343329, 4.277786], [51.341938, 4.281675], [51.339377, 4.282778], [51.333035, 4.281904], [51.334165, 4.278243], [51.343536, 4.271273], [51.344173, 4.27223]]",0,0,0,0,0.0,0.0,,,-0.0
BEANR-T91,"51.358384,4.258612,51.353250,4.266805,51.352443,4.277637,51.347549,4.277802,51.353336,4.254021,51.356529,4.254708,51.358384,4.258612","[[51.358384, 4.258612], [51.35325, 4.266805], [51.352443, 4.277637], [51.347549, 4.277802], [51.353336, 4.254021], [51.356529, 4.254708], [51.358384, 4.258612]]",0,0,0,0,0.0,0.0,,,-0.0
BEANR-TME,"51.295244,4.266389,51.299838,4.273159,51.298078,4.275773,51.293743,4.269169,51.290581,4.271648,51.278232,4.262287,51.278622,4.255848,51.281260,4.251985,51.295244,4.266389","[[51.295244, 4.266389], [51.299838, 4.273159], [51.298078, 4.275773], [51.293743, 4.269169], [51.290581, 4.271648], [51.278232, 4.262287], [51.278622, 4.255848], [51.28126, 4.251985], [51.295244, 4.266389]]",1095,46,41,7,3.7,15.2,"['A0000540', 'A0000618', 'A0000759', 'A0001240', 'A0001333', 'A0001547', 'A0001789', 'A0001843', 'A0001981', 'A0001997', 'A0002161', 'A0002335', 'A0002452', 'A0002632', 'A0002651', 'A0002913', 'A0003011', 'A0003073', 'A0003431', 'A0003476', 'A0003562', 'A0003726', 'A0003812', 'A0003842', 'A0003856', 'A0004004', 'A0004006', 'A0004134', 'A0004236', 'A0004267', 'A0004431', 'A0004549', 'A0004665', 'A0004801', 'A0005006', 'A0005064', 'A0005163', 'A0005405', 'A0005670', 'A0005732', 'A0006117', 'A0006256', 'A0006430', 'A0006570', 'A0006631', 'A0006733']","['A0000540', 'A0001333', 'A0002335', 'A0002913', 'A0003562', 'A0003856', 'A0004801']",6.5
BEGBK-DBT,"51.183937,4.704180,51.183611,4.707086,51.182518,4.706805,51.182796,4.704538,51.182628,4.704500,51.182729,4.703805,51.183937,4.704180","[[51.183937, 4.70418], [51.183611, 4.707086], [51.182518, 4.706805], [51.182796, 4.704538], [51.182628, 4.7045], [51.182729, 4.703805], [51.183937, 4.70418]]",302,4,0,0,0.0,0.0,"['A0002452', 'A0004004', 'A0005064', 'A0006001']",,0.0
BEREK-DCT,"50.778036,3.202535,50.777324,3.203337,50.777915,3.204164,50.777767,3.204343,50.777286,3.203822,50.776571,3.202541,50.777510,3.201457,50.778036,3.202535","[[50.778036, 3.202535], [50.777324, 3.203337], [50.777915, 3.204164], [50.777767, 3.204343], [50.777286, 3.203822], [50.776571, 3.202541], [50.77751, 3.201457], [50.778036, 3.202535]]",0,0,0,0,0.0,0.0,,,-0.0
BGVAR-DGB,"43.207543,27.645143,43.207566,27.646039,43.206055,27.646221,43.206011,27.645488,43.207543,27.645143","[[43.207543, 27.645143], [43.207566, 27.646039], [43.206055, 27.646221], [43.206011, 27.645488], [43.207543, 27.645143]]",0,0,0,0,0.0,0.0,,,-0.0
BGVAR-TVA,"43.189741,27.641388,43.195650,27.650150,43.194960,27.652974,43.193858,27.650624,43.191148,27.657710,43.189223,27.657400,43.189276,27.654504,43.191879,27.647673,43.190883,27.645396,43.189781,27.647691,43.187430,27.645778,43.189741,27.641388","[[43.189741, 27.641388], [43.19565, 27.65015], [43.19496, 27.652974], [43.193858, 27.650624], [43.191148, 27.65771], [43.189223, 27.6574], [43.189276, 27.654504], [43.191879, 27.647673], [43.190883, 27.645396], [43.189781, 27.647691], [43.18743, 27.645778], [43.189741, 27.641388]]",0,0,0,0,0.0,0.0,,,-0.0
BJCOO-TSM,"6.343830,2.414567,6.346226,2.414309,6.346296,2.415403,6.346115,2.415401,6.346481,2.418696,6.345041,2.418974,6.345414,2.423803,6.342279,2.424183,6.342526,2.422697,6.342548,2.421656,6.343119,2.421396,6.343001,2.419575,6.343830,2.414567","[[6.34383, 2.414567], [6.346226, 2.414309], [6.346296, 2.415403], [6.346115, 2.415401], [6.346481, 2.418696], [6.345041, 2.418974], [6.345414, 2.423803], [6.342279, 2.424183], [6.342526, 2.422697], [6.342548, 2.421656], [6.343119, 2.421396], [6.343001, 2.419575], [6.34383, 2.414567]]",1,1,1,1,100.0,100.0,['A0002535'],['A0002535'],0.6
BMHMB-THB,"32.292569,-64.781755,32.291875,-64.781711,32.292305,-64.777326,32.293125,-64.777583,32.292703,-64.778722,32.292569,-64.781755","[[32.292569, -64.781755], [32.291875, -64.781711], [32.292305, -64.777326], [32.293125, -64.777583], [32.292703, -64.778722], [32.292569, -64.781755]]",0,0,0,0,0.0,0.0,,,-0.0
BRIGD-TTS,"-22.928307,-43.839154,-22.927485,-43.830129,-22.931987,-43.832928,-22.933381,-43.843731,-22.930390,-43.843754,-22.928307,-43.839154","[[-22.928307, -43.839154], [-22.927485, -43.830129], [-22.931987, -43.832928], [-22.933381, -43.843731], [-22.93039, -43.843754], [-22.928307, -43.839154]]",0,0,0,0,0.0,0.0,,,-0.0
BRIIP-DCO,"-26.155249,-48.622906,-26.156540,-48.619108,-26.160860,-48.619780,-26.161050,-48.622391,-26.156623,-48.623196,-26.155249,-48.622906","[[-26.155249, -48.622906], [-26.15654, -48.619108], [-26.16086, -48.61978], [-26.16105, -48.622391], [-26.156623, -48.623196], [-26.155249, -48.622906]]",0,0,0,0,0.0,0.0,,,-0.0
BRIIP-DET,"-26.146237,-48.620002,-26.146702,-48.615521,-26.148913,-48.615706,-26.152129,-48.618153,-26.151250,-48.618951,-26.149878,-48.618761,-26.146237,-48.620002","[[-26.146237, -48.620002], [-26.146702, -48.615521], [-26.148913, -48.615706], [-26.152129, -48.618153], [-26.15125, -48.618951], [-26.149878, -48.618761], [-26.146237, -48.620002]]",358,10,17,1,4.7,10.0,"['A0000048', 'A0001812', 'A0002671', 'A0003229', 'A0003807', 'A0003884', 'A0004340', 'A0004537', 'A0005737', 'A0006314']",['A0002671'],3.8
BRIIP-DLL,"-26.153172,-48.622488,-26.153791,-48.618710,-26.150764,-48.616274,-26.151755,-48.614311,-26.154001,-48.615470,-26.152739,-48.617636,-26.153944,-48.618662,-26.154977,-48.617929,-26.155810,-48.619359,-26.155374,-48.621721,-26.153172,-48.622488","[[-26.153172, -48.622488], [-26.153791, -48.61871], [-26.150764, -48.616274], [-26.151755, -48.614311], [-26.154001, -48.61547], [-26.152739, -48.617636], [-26.153944, -48.618662], [-26.154977, -48.617929], [-26.15581, -48.619359], [-26.155374, -48.621721], [-26.153172, -48.622488]]",1151,13,19,3,1.7,23.1,"['A0000555', 'A0000829', 'A0000834', 'A0000887', 'A0000969', 'A0001765', 'A0003884', 'A0004575', 'A0004807', 'A0004826', 'A0004840', 'A0005385', 'A0005642']","['A0000834', 'A0004840', 'A0005385']",7.6
BRIIP-TIT,"-26.175343,-48.610934,-26.174138,-48.609297,-26.181644,-48.601688,-26.184404,-48.607841,-26.175343,-48.610934","[[-26.175343, -48.610934], [-26.174138, -48.609297], [-26.181644, -48.601688], [-26.184404, -48.607841], [-26.175343, -48.610934]]",1226,30,35,4,2.9,13.3,"['A0000048', 'A0000721', 'A0000829', 'A0000871', 'A0000969', 'A0001765', 'A0001812', 'A0001913', 'A0002516', 'A0002671', 'A0002688', 'A0003229', 'A0003258', 'A0003375', 'A0003666', 'A0003807', 'A0003884', 'A0004112', 'A0004340', 'A0004465', 'A0004537', 'A0004575', 'A0004807', 'A0004826', 'A0004840', 'A0005385', 'A0005591', 'A0005642', 'A0005744', 'A0006314']","['A0001765', 'A0004465', 'A0004840', 'A0005642']",5.4
BRITJ-TTC,"-26.899078,-48.670671,-26.898488,-48.669638,-26.900920,-48.665158,-26.901738,-48.659612,-26.902038,-48.659124,-26.902421,-48.659217,-26.903642,-48.663093,-26.901965,-48.663557,-26.901562,-48.667410,-26.900910,-48.669046,-26.899078,-48.670671","[[-26.899078, -48.670671], [-26.898488, -48.669638], [-26.90092, -48.665158], [-26.901738, -48.659612], [-26.902038, -48.659124], [-26.902421, -48.659217], [-26.903642, -48.663093], [-26.901965, -48.663557], [-26.901562, -48.66741], [-26.90091, -48.669046], [-26.899078, -48.670671]]",0,0,0,0,0.0,0.0,,,-0.0
BRNVT-TPN,"-26.892422,-48.667607,-26.893727,-48.659739,-26.898627,-48.657431,-26.897032,-48.667770,-26.895409,-48.667055,-26.894133,-48.669005,-26.892422,-48.667607","[[-26.892422, -48.667607], [-26.893727, -48.659739], [-26.898627, -48.657431], [-26.897032, -48.66777], [-26.895409, -48.667055], [-26.894133, -48.669005], [-26.892422, -48.667607]]",0,0,0,0,0.0,0.0,,,-0.0
