LocationName,Polygon,Polygon_coords,total_messages,total_devices,latency_messages,latency_devices,latency_messages_ratio,latency_device_ratio,device_ids,latency_device_ids,severity
CNSHS-TJZ,"30.274919,112.287785,30.273752,112.289484,30.272790,112.287729,30.270757,112.288704,30.270240,112.287117,30.274510,112.284888,30.275339,112.286671,30.274919,112.287785","[[30.274919, 112.287785], [30.273752, 112.289484], [30.27279, 112.287729], [30.270757, 112.288704], [30.27024, 112.287117], [30.27451, 112.284888], [30.275339, 112.286671], [30.274919, 112.287785]]",0,0,0,0,0.0,0.0,,,-0.0
CNSKU-DBS,"22.498720,113.874675,22.497373,113.875084,22.496026,113.870500,22.496587,113.869285,22.497679,113.870699,22.498720,113.874675","[[22.49872, 113.874675], [22.497373, 113.875084], [22.496026, 113.8705], [22.496587, 113.869285], [22.497679, 113.870699], [22.49872, 113.874675]]",0,0,0,0,0.0,0.0,,,-0.0
CNSKU-DYY,"22.514016,113.866671,22.511914,113.867372,22.511656,113.866337,22.513672,113.865791,22.514016,113.866671","[[22.514016, 113.866671], [22.511914, 113.867372], [22.511656, 113.866337], [22.513672, 113.865791], [22.514016, 113.866671]]",1,1,1,1,100.0,100.0,['A0002580'],['A0002580'],0.6
CNSKU-TCC,"22.473665,113.871978,22.475413,113.877022,22.470147,113.880756,22.457979,113.881775,22.457373,113.880344,22.473665,113.871978","[[22.473665, 113.871978], [22.475413, 113.877022], [22.470147, 113.880756], [22.457979, 113.881775], [22.457373, 113.880344], [22.473665, 113.871978]]",0,0,0,0,0.0,0.0,,,-0.0
CNSKU-TMN,"22.495602,113.864212,22.497076,113.868620,22.484447,113.872660,22.482339,113.868913,22.495602,113.864212","[[22.495602, 113.864212], [22.497076, 113.86862], [22.484447, 113.87266], [22.482339, 113.868913], [22.495602, 113.864212]]",241,11,30,4,12.4,36.4,"['A0000650', 'A0000675', 'A0000745', 'A0002212', 'A0002504', 'A0003628', 'A0003836', 'A0003977', 'A0004026', 'A0004287', 'A0006080']","['A0000650', 'A0000675', 'A0002504', 'A0003977']",12.3
CNSKU-TSK,"22.473834,113.900832,22.469489,113.905030,22.464679,113.898398,22.467782,113.896550,22.466075,113.894619,22.457696,113.896886,22.444738,113.886140,22.454282,113.884461,22.457773,113.886811,22.461653,113.885636,22.462584,113.887819,22.467860,113.886979,22.473834,113.900832","[[22.473834, 113.900832], [22.469489, 113.90503], [22.464679, 113.898398], [22.467782, 113.89655], [22.466075, 113.894619], [22.457696, 113.896886], [22.444738, 113.88614], [22.454282, 113.884461], [22.457773, 113.886811], [22.461653, 113.885636], [22.462584, 113.887819], [22.46786, 113.886979], [22.473834, 113.900832]]",369,11,145,7,39.3,63.6,"['A0000634', 'A0000675', 'A0000751', 'A0002212', 'A0002541', 'A0002580', 'A0003627', 'A0003715', 'A0004025', 'A0004030', 'A0005612']","['A0000634', 'A0000751', 'A0002580', 'A0003627', 'A0004025', 'A0004030', 'A0005612']",27.2
CNSNH-DBA,"30.879000,121.857942,30.876783,121.860832,30.876933,121.863312,30.875640,121.861887,30.874708,121.860647,30.882053,121.852653,30.882448,121.852725,30.879000,121.857942","[[30.879, 121.857942], [30.876783, 121.860832], [30.876933, 121.863312], [30.87564, 121.861887], [30.874708, 121.860647], [30.882053, 121.852653], [30.882448, 121.852725], [30.879, 121.857942]]",9,2,0,0,0.0,0.0,"['A0002627', 'A0003412']",,0.0
CNSNH-DBR,"31.324278,121.639717,31.324539,121.642115,31.321381,121.645557,31.316151,121.648377,31.315239,121.645764,31.324278,121.639717","[[31.324278, 121.639717], [31.324539, 121.642115], [31.321381, 121.645557], [31.316151, 121.648377], [31.315239, 121.645764], [31.324278, 121.639717]]",1408,39,112,9,8.0,23.1,"['A0000422', 'A0000507', 'A0000522', 'A0000770', 'A0000773', 'A0000774', 'A0001350', 'A0001950', 'A0001952', 'A0002251', 'A0002284', 'A0002634', 'A0002662', 'A0002697', 'A0002729', 'A0002796', 'A0003373', 'A0003565', 'A0003650', 'A0003749', 'A0003806', 'A0003903', 'A0003934', 'A0003973', 'A0004083', 'A0004089', 'A0004185', 'A0004200', 'A0004338', 'A0004390', 'A0004436', 'A0004917', 'A0005024', 'A0005356', 'A0005511', 'A0005598', 'A0005696', 'A0005763', 'A0006011']","['A0000507', 'A0000773', 'A0001350', 'A0002284', 'A0003903', 'A0004089', 'A0004390', 'A0005356', 'A0005511']",10.8
CNSNH-DBR*,"31.353245,121.544538,31.353508,121.549745,31.351384,121.549398,31.351149,121.547301,31.352338,121.545440,31.353245,121.544538","[[31.353245, 121.544538], [31.353508, 121.549745], [31.351384, 121.549398], [31.351149, 121.547301], [31.352338, 121.54544], [31.353245, 121.544538]]",650,22,94,7,14.5,31.8,"['A0000333', 'A0000895', 'A0001029', 'A0001177', 'A0001431', 'A0001589', 'A0001699', 'A0001757', 'A0001872', 'A0001975', 'A0002284', 'A0002308', 'A0003401', 'A0003557', 'A0003708', 'A0004191', 'A0004411', 'A0004748', 'A0004877', 'A0005270', 'A0005427', 'A0006284']","['A0000333', 'A0001589', 'A0001872', 'A0001975', 'A0002284', 'A0004877', 'A0005270']",14.1
CNSNH-DGF,"31.328286,121.636318,31.327319,121.637924,31.326958,121.637299,31.325283,121.637958,31.324980,121.637011,31.324142,121.637231,31.324157,121.635490,31.326381,121.634493,31.326539,121.635000,31.328286,121.636318","[[31.328286, 121.636318], [31.327319, 121.637924], [31.326958, 121.637299], [31.325283, 121.637958], [31.32498, 121.637011], [31.324142, 121.637231], [31.324157, 121.63549], [31.326381, 121.634493], [31.326539, 121.635], [31.328286, 121.636318]]",0,0,0,0,0.0,0.0,,,-0.0
